组织编码,组织英文名称,组织名称
00001,The Hong Kong and China Gas Company Limited,香港中华煤气有限公司
00002,Skyward Investments Limited,Skyward Investments Limited
00003,Brilliant World International Limited,Brilliant World International Limited
00004,Edonlite Holdings Limited,Edonlite Holdings Limited
00005,Primebay Investments Limited,Primebay Investments Limited
00006,China Guide Resources Limited,中诚资源有限公司
00007,Smoothing Investment Limited,伟诚倡投资有限公司
00008,Quality Testing Services Limited,质量测检服务有限公司
00009,P-Tech Engineering Company Limited,卓诚工程有限公司
00010,China Gas Company Limited,中华煤气有限公司
00011,Hong Kong Gas Company Limited,香港煤气有限公司
00012,Alpha Idea International Limited,星满国际有限公司
00013,Eagle Legend International Limited,精裕国际有限公司
00014,Premier Century Investments Limited,声耀投资有限公司
00015,Giant Capital Developments Limited,Giant Capital Developments Limited
00016,Hong Kong and China Natural Gas Company Limited,香港中华天然气有限公司
00017,Hong Kong Natural Gas Company Limited,香港天然气有限公司
00019,Towngas Technologies Limited,Towngas Technologies Limited
00020,Uticom Limited,Uticom Limited
00021,Hong Kong and China Natural Gas Limited,Hong Kong and China Natural Gas Limited
00022,New Plan Development Limited,新计划发展有限公司
00023,HKCG (Finance) Limited,HKCG (Finance) Limited
00024,The Hong Kong and China Gas Charity Foundation Limited,香港中华煤气慈善基金有限公司
00025,The Hong Kong and China Gas Social Enterprise Charity Fund Limited,香港中华煤气社会企业慈善基金有限公司
00027,S-Tech Technology Holding Limited,卓锐高科控股有限公司
00028,Towngas (Finance) Limited,Towngas (Finance) Limited
00029,S-Tech Technology Consulting Limited,卓锐高科顾问有限公司
00031,Towngas Smart Energy Company Limited (BVI),中华煤气智慧能源有限公司 (BVI)
00032,Towngas Investment Company Limited,煤气投资有限公司
00033,Union World Limited,Union World Limited
00034,Vast World Limited,Vast World Limited
00035,Superfun Enterprises Limited,Superfun Enterprises Limited
00036,Upwind International Limited,Upwind International Limited
00037,Starmax Assets Limited,Starmax Assets Limited
00038,Starmax Property Investment (Holdings) Limited,Starmax Property Investment (Holdings) Limited
00039,Starmax Property Development (Holdings) Limited,Starmax Property Development (Holdings) Limited
00040,Starmax Property Investment Limited,Starmax Property Investment Limited
00041,State Express Limited,State Express Limited
00042,Planwise Properties Limited,Planwise Properties Limited
00043,U-Tech Engineering Company Limited,卓裕工程有限公司
00044,Monarch Properties Limited,Monarch Properties Limited
00045,Investstar Limited,Investstar Limited
00046,Prominence Properties Limited,Prominence Properties Limited
00047,Pathview Properties Limited,Pathview Properties Limited
00048,Towngas Enterprise Limited,煤气企业有限公司
00049,Carswell Developments Limited,星尔发展有限公司
00050,Lion Legend Limited,Lion Legend Limited
00051,Summit Result Developments Limited,得志发展有限公司
00052,Empire Bridge Investments Limited,Empire Bridge Investments Limited
00053,Wellfast Holdings Limited,Wellfast Holdings Limited
00054,Fame Union Limited,Fame Union Limited
00055,Technology Capitalization Limited,Technology Capitalization Limited
00056,Frontier Success Limited,Frontier Success Limited
00057,Towngas Global Net Limited,Towngas Global Net Limited
00058,Towngas Telecommunications Company Limited,名气通电讯有限公司
00059,Wang Tack International Limited,Wang Tack International Limited
00060,Towngas Telecommunications (China) Limited,名气通电讯（中国）有限公司
00061,HDC Data Centre Limited,HDC Data Centre Limited
00062,Cotech Investment Limited,Cotech Investment Limited
00063,Towngas Telecommunications Fixed Network Limited,名气通电讯固网有限公司
00064,Towngas Telecommunications (Weihai) Limited,名气通电讯（威海）有限公司
00065,Towngas IT Company Limited,Towngas IT Company Limited
00066,Danetop Services Limited,Danetop Services Limited
00067,Barnaby Assets Limited,Barnaby Assets Limited
00068,ECO Environmental Investments Limited,易高环保投资有限公司
00069,ECO Aviation Fuel Development Limited,易高航空燃料有限公司
00070,ECO Aviation Fuel Services Limited,易高航空燃料服务有限公司
